"By Sanny Jegillos, Team Leader, UNDP Disaster Risk Reduction in Asia and the Pacific","Disaster Management"
"On behalf of UNDP, I am honoured to speak at today’s opening ceremony of school tsunami drills campaign in Indonesia.","Disaster Management"
"The tsunami drills are part of a UNDP and Government of Japan project, BUT it is all of you here in Indonesia who have made them possible with your commitment and enthusiasm. I’d like to thank the school principals, faculty and administration, and of course the students for participating in this initiative. I’m also grateful for the presence of our partners – the Indonesian National Board for Disaster Management (NDMO), Ministry of National Education, the Consular General of Japan to Denpasar and the Red Cross – as this reaffirms your interest and engagement in this very important initiative.","Disaster Management"
"Indonesia is the first of 18 countries under this regional project, to plan and conduct the school drills. In my view, this is hardly surprising as this is the country in the Asia Pacific region that is a champion on Disaster Risk Reduction issues. As a country, you have turned the suffering that your people have faced into an opportunity to advocate for risk informed development, so that others will benefit. You know the importance of hazard risk for planning, for building and for growth. You have understood and embraced the importance of hazard awareness and preparedness so that the impact on the loss of lives and livelihoods is reduced.","Disaster Management"
"Today’s drills are part of your journey in ensuring that your most vulnerable, including children and those living in tsunami prone areas, are aware and prepared about how to respond in the event of a disaster. Lessons from the first drill will be shared with other countries in the region. There is much that they can learn from your experience and knowledge.  ","Disaster Management"
"The drills are not an end in themselves. They help test evacuation plans and improve preparedness. But you must conduct them regularly. Each year new students will enter your schools. Those who leave will take and spread their learning. Perhaps your students will become DRR experts in the future, or perhaps they will ensure that risk is integrated in the work they do. What better way to build a resilient future than building resilient generations?","Disaster Management"
"The moment students leave the school premises, the drills are no longer just about the school. The local administration, the traffic police, parents and the neighborhood – everyone becomes a part of this. The MOUs that you are signing this afternoon with eight hotels in the area show that even private enterprises play a role. What better way to build a whole of society approach than this?","Disaster Management"
"I’d like to conclude by saying how proud we are at UNDP to be supporting this initiative. We know that a lot of preparation has gone behind what we will observe today. And there’s much more to do. It is you who have the power to create a movement, a ripple effect of preparedness so that it’s not just a few schools and a few communities but that an entire nation is resilient.","Disaster Management"
"*The speech was given in August 2017 in Bali, Indonesia","Disaster Management"
"Solomon Islands - The first tsunami drill at schools in the Solomon Islands mobilized nearly 400 students and teachers, testing the schools’ emergency management plans and newly constructed evacuation routes.","Disaster Management"
"The tsunami evacuation drill was held in two schools - Titiana Community High School and Babanga Primary school, in the tsunami-prone Western Province. It was supported by the government of Solomon Islands and Japan, and the United Nations Development Program (UNDP).","Disaster Management"
"“During the 2007 Tsunami, 52 children and adults lost their lives. We did not know what a tsunami was or what to do. We are grateful for support of the Government of Japan and UNDP to help our communities and children to be better prepared for the future,” said Honorable George Lilo, member of the Provincial Assembly.","Disaster Management"
"The school tsunami preparedness project is supported by the Western Province Education Authority, Solomon Islands Red Cross-Gizo branch, the Seismology Division of MMERE and the NDMO, SI Meteorological Services, Climate Change Division of the Ministry of Environment, Climate Change and Disaster Management & Meteorology.","Disaster Management"
"Using images taken from the drones and stories gathered from the communities, the agencies in collaborations with the two schools banded together to collect data, and conduct a tsunami risk assessment. They also produced tsunami hazard maps, and identified evacuation routes and safe areas.","Disaster Management"
"The work resulted in the creation of new emergency evacuation plans, and construction of evacuation routes.","Disaster Management"
"It was recommended that schools set up internal siren systems to support early warning, build emergency exit doors, and display tsunami evacuation guides around the perimeter of the schools’ campus to ensure safe evacuation.","Disaster Management"
" “Our children have a lot to learn about being safe and being able to fend for themselves when threats exist. Children are “agents of change”, they will carry the safety message to their parents, friends, and entire community,” said  Director of the National Disaster Management Office, Mr. Loti Yates.","Disaster Management"
"UNDP Country Manager in the Solomon Islands, Ms Azusa Kubota, thanked the Government of Solomon Islands and Government of Japan for partnering with UNDP in this important initiative.","Disaster Management"
"“Globally, schools have been identified as an ideal venue for raising awareness on disaster risk reduction and strengthening preparedness amongst students, families and communities. It is wonderful to see not only school children and teachers, but also community members coming together to be part of today’s exercise,” said Ms. Azusa Kubota of UNDP","Disaster Management"
"With support from the government of Japan, UNDP is organizing 90 tsunami evacuation drills in 18 countries across Asia and the Pacific. The regional project “Strengthening School Preparedness for Tsunami” is active in Bangladesh, Cambodia, Fiji, Indonesia, Malaysia, Maldives, Myanmar, Pakistan, Papua New Guinea, Philippines, Samoa, Solomon Islands, Sri Lanka, Thailand, Timor Leste, Tonga, Vanuatu, and Vietnam.","Disaster Management"
"email: sandra.barrows@undp.org, tel: +677 27446 ext. 5527","Disaster Management"
"BANGKOK, 2 November 2017 (NNT) – Heavy rains with potential flash floods and landslides are currently hitting the southern region while the temperature in the upper part of the country will continue to drop. ","Disaster Management"
"Metrological Department (TMD) Director-General Wanchai Sakudomchai has said the southern region of Thailand is currently prevailed by monsoon season, with torrential rains expected over the next few days. ","Disaster Management"
"He said the TMD is now working with the Department of Disaster Prevention and Mitigation, and the Ministry of Interior, to timely notify the general public who might be affected from the weather and to prepare for response plans. ","Disaster Management"
"Areas along the east coast of the southern region should be prepared for the potential flash floods and landslides, especially at foothills and steep areas. ","Disaster Management"
